station_name,station_id,real_time,active?,owner,owner_2,maintainer,project,latitude,longitude,elevation_ft,transmit_time,mesowest_link,station_type,hydrologic,weather,coastal,experimental_plot,seismometer,satellite,precipitation,temperature,data_provider,dew_point,wind,visability,sky_conditions,sea_level_pressure,wave_swell_height,altimeter_reading,snow_amount,heated,seasonal,reliable_forcsting,precip_reliable,temp_reliable,wind_reliable,dewpoint_reliable,additional_information,web_link,contact_person,contact_email,device_specific_details
Helm Lake,HLMA2,Unknown,Inactive,U.S. Forest Service,,,Remote Automated Weather Station,53.529722,-131.366111,1400,None,Unknown,Weather Station,Yes,Yes,No,No,No,No,Yes,Yes,National Weather Service,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown
Canadian Buoy 205,46205,Yes,Active,Environment Canada,,,Navy Oceanographic Meteorological Automatic Device (NOMAD) buoy ,54.165,-134.283,0,:00,Unknown,Weather Station,Unknown,Yes,No,No,No,No,Unknown,Yes,National Weather Service,Yes,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,No,No,Unknown,Unknown,Unknown,Unknown
Canadian Buoy 145,46145,Yes,Active,Environment Canada,,,Navy Oceanographic Meteorological Automatic Device (NOMAD) buoy ,54.366,-132.417,0,:00,Unknown,Weather Station,Unknown,Yes,No,No,No,No,Unknown,Yes,National Weather Service,Yes,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,No,No,Unknown,Unknown,Unknown,Unknown
Tree Point,TPXA2,Yes,Inactive,Marine Exchange of Alaska,,,Unknown,54.8028,-130.9343,Unknown,Unknown,Unknown,Weather Station,Unknown,Unknown,No,No,No,No,Unknown,Unknown,National Weather Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown
"Koiangles, Installation 16, Plot 1600",462,Unknown,Active,U.S. Forest Service,,,Cooperative Stand-Density Study (CSDS),54.82075,-132.697,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Drawn from field maps onto TNF DOQQs
"Koiangles, Installation 16, Plot 1600",419,Unknown,Active,U.S. Forest Service,,,Cooperative Stand-Density Study (CSDS),54.82137,-132.697,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Drawn from field maps onto TNF DOQQs
"Koiangles, Installation 16, Plot 1600",418,Unknown,Active,U.S. Forest Service,,,Cooperative Stand-Density Study (CSDS),54.82157,-132.696,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Drawn from field maps onto TNF DOQQs
"Mission Cove, Installation 15, Plot 1540",417,Unknown,Active,U.S. Forest Service,,,Cooperative Stand-Density Study (CSDS),54.87303,-132.797,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location approximate.,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Drawn from field maps onto TNF DOQQs
"Mission Cove, Installation 15, Plot 1530",416,Unknown,Active,U.S. Forest Service,,,Cooperative Stand-Density Study (CSDS),54.87328,-132.796,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location approximate.,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Drawn from field maps onto TNF DOQQs
"Mission Cove, Installation 15, Plot 1550",392,Unknown,Active,U.S. Forest Service,,,Cooperative Stand-Density Study (CSDS),54.87356,-132.797,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location approximate.,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Drawn from field maps onto TNF DOQQs
"Mission Cove, Installation 15, Plot 1560",415,Unknown,Active,U.S. Forest Service,,,Cooperative Stand-Density Study (CSDS),54.8738,-132.797,Unknown,Unknown,N/A,Experimental Plot,No,No,No,Yes,No,No,Unknown,Unknown,U.S. Forest Service,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location approximate.,Unknown,Kellen Nelson,kellen.nelson@usda.gov,Drawn from field maps onto TNF DOQQs
Annette/WSO,PANT,Yes,Active,National Weather Service,Federal Aviation Administration,,The ASOS Monitoring Center (AOMC),55.04,-131.57,112,:53,Unknown,Weather Station,Yes,Yes,No,No,No,No,Yes,Yes,National Weather Service,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown
AK Metlakatla 6 S NOAA/NWS Annette Island 6 S AK,META2,Yes,Active,National Weather Service,,,U.S. Climate Reference Network,55.0455,-131.5877,101,Unknown,Unknown,Weather Station,Yes,Yes,No,No,No,No,Yes,Yes,National Weather Service,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,No,Yes,"1.5 Temperature, 1.5m Relative Humidity, 3.0m Wind Gust mph, Precipitation accumulated in, Precipitation 1hr in, Precipitation 5min in",https://www.weather.gov/wrh/timeseries?site=META2,Unknown,Unknown,Unknown
