"Limited Access Document: To add information, please make comments. If you have questions about the document, please contact Ella Neumann at eneumann@sitkascience.org Document created using information provided by state and federal agencies, tribes, municipalities, and other organizations throughout Southeast Alaska.

GIS files, .csv files, and other information available on the SSSC Github Page: https://github.com/Sitka-Sound-Science-Center/southeast_monitoring_locations ",,,,NWS Fields,,,,,,,,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,NWS Fields,,,,,,,,,,,,,,,
"station_name
STRING","station_id
(meso or spotter or awips)
STRING",station_type_project,"real_time
BOOLEAN
TRUE, FALSE, NULL",zone,owner,latitude,longitude,elevation_meters,elevation_ft,xmit_time,operational,T,DP,WND,VIS,SKY,WX,SLP,ALT,PRC,SN,SEA,SOIL TEMP,SOIL MOIST,WHY,Heated,SEASONAL,SITE,reliable,precip reliable,temp reliable,wind reliable,Td reliable,data_and_types,mesowest_link,contact_person,contact_email,maintainer,next_maint_date,status_details,data_web_link,sensor_specifications,data_format,data_routing_procedure,api_services,obs_frequency,operation_period,additional_info
Lutak Hillside,,"Rainfall, precipitation (rain and snowfall in antifreeze bucket), snow depth, wind speed, air temp, relative humidity, soil temperature, soil moisture, ground water pressure, camera",,,Alaska Avalanche Information Center,59.30179,-135.551438,,,,Inactive,,,,,,,,,,,,,,,,,,,,,,,"Rainfall, precipitation (rain and snowfall in antifreeze bucket), snow depth, wind speed, air temp, relative humidity, soil temperature, soil moisture, ground water pressure, camera",,Erik Stevens,estevens@alaskasnow.org,Haines Avalanche Center,,Permitted. Will be installed August 2024,,,,data will be hosted in CSV format on AlaskaSnow.org. Will be scraped from there by NOAA and ingested into mesowest,,"TBD. Most likely will have observations every 10 minutes, reported to server once per hour",Indefinite,
Mount Riley,MRWA2,,,,Alaska Division of Geological & Geophysical Surveys,59.215626,-135.411392,,1031,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), Temp F, Dew Point F, Wet bulb temp F, Relative Humidity %, Wind Speed mph, Wind Direction, Precipitation accumulated in, Precipitation accumulated in, Precipitation 15min in, Snow depth in",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=MRWA2&unit=0&time=LOCAL ,Gabriel Wolken,gabriel.wolken@alaska.gov,,,,,,,,None,"Sampling rate for weather variables vary, but all our weather station data are reported and updated on a quarterly hour basis.","Establishment times vary. All stations are remote and typically require helicopter access. All stations operate continuously unless issue are encountered (destruction from animals, weather, avalanches, etc.). Stations are repaired/maintained as funds and time allow.",
Harbor Mountain,HMWA2,Weather Station,Y,323,Alaska Division of Geological & Geophysical Surveys,57.089,-135.3439,729.6912,2394,,Active,X,X,X,,,,X,,X,,,,,,n,,,Y,Y,Y,Y,Y,"Time (AKD), Temp F, Dew Point F, Wet bulb temp F, Relative Humidity %, Wind Speed mph, Wind Direction, Precipitation accumulated in, Precipitation accumulated in, Precipitation 15min in, Snow depth in", https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=HMWA2&unit=0&time=LOCAL ,Gabriel Wolken,gabriel.wolken@alaska.gov,,,,,,,,None,"Sampling rate for weather variables vary, but all our weather station data are reported and updated on a quarterly hour basis.","Establishment times vary. All stations are remote and typically require helicopter access. All stations operate continuously unless issue are encountered (destruction from animals, weather, avalanches, etc.). Stations are repaired/maintained as funds and time allow.",
Takshanuk Mountain along the Haines Highway near Klukwan,,Weather Station,,,Alaska Division of Geological & Geophysical Surveys,59.392729,-135.808695,,,,Inactive,,,,,,,,,,,,,,,,,,,,,,,"wind, air temperature, humidity, ground temperature, soil moisture, radiation, liquid precipitation, and barometric pressure",,,,,2024-07-31,,,,,"The data are posted to our website as a .csv file, which updates every 15 minutes, and are pulled by MesoWest and many other interested groups.",None,"Sampling rate for weather variables vary, but all our weather station data are reported and updated on a quarterly hour basis.","Establishment times vary. All stations are remote and typically require helicopter access. All stations operate continuously unless issue are encountered (destruction from animals, weather, avalanches, etc.). Stations are repaired/maintained as funds and time allow.",
AUKE BAY LAB DOCK,ABYA2,Weather Station,,,National Weather Service,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), Temperature F, Dew Point F, Wet bulb temperature F, Relative Humidity %, Wind Speed mph, Wind Gust mph, Wind Direction, Pressure in, Altimeter in, Precipitation accumulated in, Precipitation 1hr in, Battery voltage volt",,,,,,,,,,,,,,
Yakutat,PAYA,Weather Station,,,National Weather Service/Federal Aviation Administration,59.51667,-139.66667,,36,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 2.0m Temperature F, 2.0 Dew Point F, Relative Humidity, Wind Speed, Wind Direction, Pressure, Altimeter, Weather Conditions, Visibility, Ceiling",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PAYA&unit=0&time=LOCAL,Aaron Jacobs,aaron.jacobs@noaa.gov,,,,,,,,,,,
Skagway,PAGY,Weather Station,,,National Weather Service/Federal Aviation Administration,59.4544,-135.3263,,21,,Active,,,,,,,,,,,,,,,,,,,,,,,"Temperature, Dew Point, Relative Humidity, Wind Speed, Wind Direction, Pressure, Altimeter, Weather Conditions, Visibility, Ceiling",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PAGY&unit=0&time=LOCAL,Aaron Jacobs,aaron.jacobs@noaa.gov,,,,,,,,,,,
Haines - Haines Airport,PAHN,Weather Station,,,National Weather Service/Federal Aviation Administration,59.2429,-135.5114,,49,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 2.0m Temperature F, 2.0 Dew Point F, 2.0m Wet bulb temperature F, 2.0 Relative Humidity %, 10.0 Wind Speed mph, 10.0m Wind Gust mph, 10.0m Wind Direction, Pressure in, Sea level pressure in, Altimeter in, Weather conditions, Visability miles, Ceiling feet, Precipication 1hr in, Precipitation 3 hr in, Quality Control",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PAHN&unit=0&time=LOCAL,Aaron Jacobs,aaron.jacobs@noaa.gov,,,,,,,,,,,
Gustavus -  Gustavus Airport,PAGS,Weather Station,,,National Weather Service/Federal Aviation Administration,58.41667,-135.7,,33,,Active,,,,,,,,,,,,,,,,,,,,,,,"Time (AKD), 2.0m Temperature F, 2.0 Dew Point F, 2.0m Wet bulb temperature F, 2.0 Relative Humidity %, 10.0 Wind Speed mph, 10.0m Wind Gust mph, 10.0m Wind Direction, Pressure in, Sea level pressure in, Altimeter in, Weather conditions, Visability miles, Ceiling feet, Precipication 1hr in, Precipitation 3 hr in, Quality Control",https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PAGS&unit=0&time=LOCAL ,Aaron Jacobs,aaron.jacobs@noaa.gov,,,,,,,,,,,
Hoonah - Hoonah Seaplane Base,PAOH,Weather Station,,,National Weather Service/Federal Aviation Administration,58.097,-135.414,,,,Inactive,,,,,,,,,,,,,,,,,,,,,,,,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PAOH&unit=0&time=LOCAL,Aaron Jacobs,aaron.jacobs@noaa.gov,,,,,,,,,,,
Elfin Cove - Elfin Cove Seapla,PAEL,Weather Station,,,National Weather Service/Federal Aviation Administration,58.19467,-136.34663,,26,,Active,,,,,,,,,,,,,,,,,,,,,,,,https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=PAEL&unit=0&time=LOCAL,Aaron Jacobs,aaron.jacobs@noaa.gov,,,,,,,,,,,
